VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2016-01-01 07:33:59,2016-01-01 07:50:37,1,2.8,-74.00093078613281,40.731632232666016,1,N,-74.0051498413086,40.70726776123047,2,13.0,0.0,0.5,0.0,0.0,0.3,13.8
2,2016-01-01 07:34:10,2016-01-01 07:52:27,1,5.61,-73.98102569580078,40.7689323425293,1,N,-74.0154037475586,40.7099609375,2,19.5,0.0,0.5,0.0,0.0,0.3,20.3
2,2016-01-01 07:34:12,2016-01-01 07:51:40,6,6.3,-73.95578002929686,40.771480560302734,1,N,-73.86771392822266,40.757339477539055,2,21.0,0.0,0.5,0.0,0.0,0.3,21.8
2,2016-01-01 07:34:14,2016-01-01 07:50:48,2,4.87,-73.98725128173827,40.72264862060547,1,N,-73.97955322265625,40.7752685546875,1,17.0,0.0,0.5,3.56,0.0,0.3,21.36
2,2016-01-01 07:34:37,2016-01-01 07:50:53,1,8.81,-73.96720886230467,40.79378128051758,1,N,-73.87286376953125,40.774330139160156,1,26.0,0.0,0.5,5.0,5.54,0.3,37.34
2,2016-01-01 07:34:39,2016-01-01 07:53:23,2,5.66,-73.98884582519531,40.74851608276367,1,N,-73.96619415283203,40.689788818359375,1,19.5,0.0,0.5,2.0,0.0,0.3,22.3
1,2016-01-01 07:35:03,2016-01-01 07:53:19,1,6.0,-73.98900604248048,40.726829528808594,1,N,-73.95297241210938,40.65398025512695,1,20.5,0.0,0.5,8.0,0.0,0.3,29.3
1,2016-01-01 07:35:04,2016-01-01 07:54:40,1,5.7,-73.99555969238281,40.76454544067383,1,N,-73.94786071777344,40.83020782470703,1,20.5,0.0,0.5,3.0,0.0,0.3,24.3
1,2016-01-01 07:35:07,2016-01-01 07:51:12,1,11.4,-73.78173828125,40.64477157592773,1,N,-73.86463928222656,40.77024841308594,1,31.0,0.0,0.5,6.35,0.0,0.3,38.15
1,2016-01-01 07:35:12,2016-01-01 07:53:06,1,7.7,-73.95195007324219,40.82475662231445,1,N,-73.9930191040039,40.739017486572266,1,23.5,0.0,0.5,4.85,0.0,0.3,29.15
